RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Load,Class_3,Normalized_Power,Normalized_Load
2.341,237.568,0,95,263,27,0,3,0.588,0.0
2.159,240.357,15,75,245,25,4,2,0.324,1.0
2.41,237.373,10,95,270,27,2,3,0.691,0.667
2.146,239.961,5,75,241,25,2,2,0.265,0.333
2.407,236.955,9,95,267,27,2,3,0.647,0.6
2.164,240.374,4,75,241,25,1,2,0.265,0.267
2.467,237.373,15,95,279,28,4,3,0.824,1.0
2.151,240.472,5,75,242,25,2,2,0.279,0.333
2.164,236.991,14,85,246,25,3,2,0.338,0.933
2.405,237.136,12,95,272,28,2,3,0.721,0.8
2.427,236.882,14,95,281,29,3,3,0.853,0.933
2.164,237.02,11,85,240,24,3,2,0.25,0.733
2.147,239.939,5,75,240,24,2,2,0.25,0.333
2.21,240.167,6,75,246,25,2,2,0.338,0.4
2.17,240.052,4,75,242,25,1,2,0.279,0.267
2.52,237.322,3,95,272,28,2,3,0.721,0.2
2.49,237.285,3,95,274,28,2,3,0.75,0.2
2.166,239.909,7,75,245,25,3,2,0.324,0.467
2.403,237.745,2,95,270,27,1,3,0.691,0.133
2.201,240.628,3,75,245,25,2,2,0.324,0.2
2.487,236.757,7,95,284,29,3,3,0.897,0.467
2.489,237.026,11,95,271,28,3,3,0.706,0.733
2.132,240.311,8,75,238,24,1,2,0.221,0.533
2.403,236.642,13,95,272,28,3,3,0.721,0.867
2.495,237.241,12,95,276,28,2,3,0.779,0.8
2.169,240.403,1,75,241,25,1,2,0.265,0.067
2.445,237.442,15,95,279,28,4,3,0.824,1.0
2.159,240.677,2,75,243,25,1,2,0.294,0.133
2.184,240.59,10,75,246,25,2,2,0.338,0.667
2.15,240.09,0,75,238,24,0,2,0.221,0.0
2.173,240.866,0,70,238,24,0,1,0.221,0.0
2.403,237.134,8,95,265,27,1,3,0.618,0.533
2.455,237.363,3,95,272,28,2,3,0.721,0.2
2.475,237.18,14,95,282,29,3,3,0.868,0.933
2.473,237.301,11,95,275,28,3,3,0.765,0.733
2.56,237.318,15,95,281,29,4,3,0.853,1.0
2.459,236.746,7,95,282,29,3,3,0.868,0.467
2.357,237.352,1,95,267,27,1,3,0.647,0.067
2.175,240.753,0,70,237,24,0,1,0.206,0.0
2.167,239.961,15,75,246,25,4,2,0.338,1.0
2.202,241.161,6,85,247,25,2,2,0.353,0.4
2.121,240.602,1,70,234,24,1,1,0.162,0.067
2.158,240.722,5,75,242,25,2,2,0.279,0.333
2.187,239.921,6,75,245,25,2,2,0.324,0.4
2.477,237.354,10,95,276,28,2,3,0.779,0.667
2.162,240.128,15,75,242,25,4,2,0.279,1.0
2.153,240.481,8,85,240,24,1,2,0.25,0.533
2.507,236.868,6,95,275,28,2,3,0.765,0.4
2.173,240.746,10,85,244,25,2,2,0.309,0.667
2.171,240.615,9,85,242,25,2,2,0.279,0.6
2.172,240.74,9,85,242,25,2,2,0.279,0.6
2.106,240.027,0,60,234,24,0,1,0.162,0.0
2.137,239.878,0,0,233,24,0,1,0.147,0.0
2.167,240.523,9,75,242,25,2,2,0.279,0.6
2.173,236.53,6,85,246,24,2,2,0.338,0.4
2.243,236.963,7,85,248,25,3,2,0.368,0.467
2.191,237.32,15,85,244,25,4,2,0.309,1.0
2.19,240.728,6,75,246,25,2,2,0.338,0.4
2.397,237.027,4,95,266,27,1,3,0.632,0.267
2.211,241.153,6,85,246,25,2,2,0.338,0.4
2.56,237.305,6,95,280,28,2,3,0.838,0.4
2.476,237.661,15,95,280,28,4,3,0.838,1.0
2.198,239.793,6,75,246,25,2,2,0.338,0.4
2.189,240.491,3,85,243,25,2,2,0.294,0.2
2.111,239.904,0,30,226,23,0,1,0.044,0.0
2.465,236.695,12,95,272,28,2,3,0.721,0.8
2.163,236.828,14,85,248,25,3,2,0.368,0.933
2.207,237.346,7,85,246,25,3,2,0.338,0.467
2.094,240.131,0,60,230,23,0,1,0.103,0.0
2.161,240.425,12,85,241,25,2,2,0.265,0.8
2.458,236.808,7,95,279,28,3,3,0.824,0.467
2.165,240.691,13,75,241,25,3,2,0.265,0.867
2.351,237.271,8,95,264,27,1,3,0.603,0.533
2.189,240.896,6,85,246,25,2,2,0.338,0.4
2.094,238.88,0,15,224,23,0,1,0.015,0.0
2.175,240.186,4,85,244,25,1,2,0.309,0.267
2.603,237.321,15,95,285,29,4,3,0.912,1.0
2.188,240.592,10,85,245,25,2,2,0.324,0.667
2.157,237.479,13,85,239,24,3,2,0.235,0.867
2.208,240.307,6,75,247,25,2,2,0.353,0.4
2.122,240.422,1,70,234,24,1,1,0.162,0.067
2.143,240.147,15,75,244,25,4,2,0.309,1.0
2.402,237.261,8,95,264,27,1,3,0.603,0.533
2.441,237.518,5,95,270,27,2,3,0.691,0.333
2.497,236.876,11,95,272,28,3,3,0.721,0.733
2.198,240.378,12,75,246,25,2,2,0.338,0.8
2.187,239.944,14,75,246,25,3,2,0.338,0.933
2.17,240.722,12,85,241,25,2,2,0.265,0.8
2.494,237.283,12,95,271,28,2,3,0.706,0.8
2.198,240.459,3,75,246,25,2,2,0.338,0.2
2.164,240.667,2,75,242,25,1,2,0.279,0.133
2.179,240.289,1,75,240,24,1,2,0.25,0.067
2.166,240.525,9,75,240,24,2,2,0.25,0.6
2.166,237.012,11,85,240,24,3,2,0.25,0.733
2.108,240.455,0,60,233,24,0,1,0.147,0.0
2.142,239.384,0,15,232,24,0,1,0.132,0.0
2.135,240.602,8,75,238,24,1,2,0.221,0.533
2.177,240.857,2,85,245,25,1,2,0.324,0.133
2.136,240.462,0,45,235,24,0,1,0.176,0.0
2.175,240.309,4,85,246,25,1,2,0.338,0.267
2.18,240.45,3,85,244,25,2,2,0.309,0.2
2.148,240.459,8,85,240,24,1,2,0.25,0.533
2.158,239.443,11,75,242,25,3,2,0.279,0.733
2.178,236.759,11,85,242,25,3,2,0.279,0.733
2.173,240.471,9,85,243,25,2,2,0.294,0.6
2.152,239.981,5,75,241,25,2,2,0.265,0.333
2.415,237.993,2,95,268,27,1,3,0.662,0.133
2.179,240.436,4,85,243,25,1,2,0.294,0.267
2.187,240.308,7,75,246,25,3,2,0.338,0.467
2.554,237.086,15,95,281,29,4,3,0.853,1.0
2.197,239.932,14,75,246,25,3,2,0.338,0.933
2.172,240.644,9,75,242,25,2,2,0.279,0.6
2.427,237.087,3,95,273,28,2,3,0.735,0.2
2.142,240.252,0,85,239,24,0,2,0.235,0.0
2.438,236.779,6,95,277,28,2,3,0.794,0.4
2.133,240.735,0,45,234,24,0,1,0.162,0.0
2.19,240.417,15,75,246,25,4,2,0.338,1.0
2.182,239.693,4,75,240,24,1,2,0.25,0.267
2.195,240.187,6,75,246,25,2,2,0.338,0.4
2.202,240.52,6,75,247,25,2,2,0.353,0.4
2.201,240.627,10,75,245,25,2,2,0.324,0.667
2.176,240.677,7,75,246,25,3,2,0.338,0.467
2.166,240.054,1,75,241,25,1,2,0.265,0.067
2.191,240.683,3,85,243,25,2,2,0.294,0.2
2.124,240.304,1,70,233,24,1,1,0.147,0.067
2.124,240.143,15,75,246,25,4,2,0.338,1.0
2.158,240.414,13,75,240,24,3,2,0.25,0.867
2.126,240.055,1,70,233,24,1,1,0.147,0.067
2.175,239.681,4,75,242,25,1,2,0.279,0.267
2.36,237.424,1,95,266,27,1,3,0.632,0.067
2.208,240.247,6,75,248,25,2,2,0.368,0.4
2.374,237.667,2,95,267,27,1,3,0.647,0.133
2.409,236.717,13,95,271,28,3,3,0.706,0.867
2.142,240.516,8,75,238,24,1,2,0.221,0.533
2.439,237.234,3,95,277,28,2,3,0.794,0.2
2.173,240.283,10,85,244,25,2,2,0.309,0.667
2.197,239.887,14,75,245,25,3,2,0.324,0.933
2.175,240.134,4,75,241,25,1,2,0.265,0.267
2.163,240.313,1,85,243,25,1,2,0.294,0.067
2.157,240.355,8,85,240,24,1,2,0.25,0.533
2.159,240.38,1,75,241,25,1,2,0.265,0.067
2.338,237.118,8,95,264,27,1,3,0.603,0.533
2.172,240.545,5,75,245,25,2,2,0.324,0.333
2.167,240.35,0,70,237,24,0,1,0.206,0.0
2.38,237.305,1,95,266,27,1,3,0.632,0.067
2.177,240.932,10,75,244,25,2,2,0.309,0.667
2.171,240.592,10,85,244,25,2,2,0.309,0.667
2.211,239.672,14,75,246,25,3,2,0.338,0.933
2.147,240.512,8,75,239,24,1,2,0.235,0.533
2.559,236.985,7,95,279,28,3,3,0.824,0.467
2.551,236.955,6,95,279,28,2,3,0.824,0.4
2.17,240.581,0,70,237,24,0,1,0.206,0.0
2.204,240.44,3,75,246,25,2,2,0.338,0.2
2.154,239.954,0,75,239,24,0,2,0.235,0.0
2.115,239.928,0,60,233,24,0,1,0.147,0.0
2.164,240.25,1,75,240,24,1,2,0.25,0.067
2.175,240.256,4,85,244,25,1,2,0.309,0.267
2.177,240.532,10,75,245,25,2,2,0.324,0.667
2.173,240.608,15,75,245,25,4,2,0.324,1.0
2.389,237.312,4,95,267,27,1,3,0.647,0.267
2.156,240.192,0,70,236,24,0,1,0.191,0.0
2.158,240.239,0,85,237,24,0,2,0.206,0.0
2.162,240.069,12,85,240,24,2,2,0.25,0.8
2.486,237.034,12,95,272,28,2,3,0.721,0.8
2.166,237.06,14,85,247,25,3,2,0.353,0.933
2.193,236.953,15,85,243,25,4,2,0.294,1.0
2.166,237.107,13,85,240,24,3,2,0.25,0.867
2.377,237.398,0,95,264,27,0,3,0.603,0.0
2.531,236.804,14,95,279,28,3,3,0.824,0.933
2.198,240.365,14,75,245,25,3,2,0.324,0.933
2.204,239.992,14,75,246,25,3,2,0.338,0.933
2.167,240.584,12,85,243,25,2,2,0.294,0.8
2.183,240.429,5,75,246,25,2,2,0.338,0.333
2.147,240.553,2,75,240,24,1,2,0.25,0.133
2.474,236.894,7,95,278,28,3,3,0.809,0.467
2.206,240.63,12,75,245,25,2,2,0.324,0.8
2.183,240.9,5,85,244,25,2,2,0.309,0.333
2.104,239.392,0,30,226,23,0,1,0.044,0.0
2.2,236.983,15,85,243,25,4,2,0.294,1.0
2.152,240.245,2,75,241,25,1,2,0.265,0.133
2.158,239.983,11,75,242,25,3,2,0.279,0.733
2.102,240.345,0,60,234,24,0,1,0.162,0.0
2.158,237.025,14,85,248,25,3,2,0.368,0.933
2.168,240.215,1,75,241,25,1,2,0.265,0.067
2.199,239.985,6,75,246,25,2,2,0.338,0.4
2.408,237.688,2,95,267,27,1,3,0.647,0.133
2.185,240.841,5,85,244,25,2,2,0.309,0.333
2.166,240.217,0,75,237,24,0,2,0.206,0.0
2.453,237.164,3,95,275,28,2,3,0.765,0.2
2.184,240.295,1,75,240,24,1,2,0.25,0.067
2.156,237.662,13,85,240,24,3,2,0.25,0.867
2.213,237.322,11,85,246,25,3,2,0.338,0.733
2.436,237.32,13,95,276,28,3,3,0.779,0.867
2.372,236.756,9,95,267,27,2,3,0.647,0.6
2.106,238.869,0,15,228,23,0,1,0.074,0.0
2.395,237.819,0,95,266,27,0,3,0.632,0.0
2.131,240.144,0,45,234,24,0,1,0.162,0.0
2.168,240.113,1,75,241,25,1,2,0.265,0.067
2.123,240.124,0,45,234,24,0,1,0.162,0.0
2.492,237.199,12,95,273,28,2,3,0.735,0.8
2.176,240.101,5,75,244,25,2,2,0.309,0.333
2.381,237.503,5,95,271,28,2,3,0.706,0.333
2.525,237.303,3,95,276,28,2,3,0.779,0.2
2.156,240.836,8,85,240,24,1,2,0.25,0.533
2.174,240.23,0,70,237,24,0,1,0.206,0.0
2.118,240.458,0,45,231,24,0,1,0.118,0.0
2.16,240.07,12,85,240,24,2,2,0.25,0.8
2.151,240.681,8,85,240,24,1,2,0.25,0.533
2.394,237.364,2,95,265,27,1,3,0.618,0.133
2.376,237.449,1,95,264,27,1,3,0.603,0.067
2.438,236.835,13,95,276,28,3,3,0.779,0.867
2.15,240.407,9,75,241,25,2,2,0.265,0.6
2.156,240.147,2,75,242,25,1,2,0.279,0.133
2.368,237.421,8,95,268,27,1,3,0.662,0.533
2.193,240.567,3,85,241,25,2,2,0.265,0.2
2.176,240.094,15,75,246,25,4,2,0.338,1.0
2.174,237.028,11,85,242,25,3,2,0.279,0.733
2.181,240.838,10,75,244,25,2,2,0.309,0.667
2.378,237.858,8,95,266,27,1,3,0.632,0.533
2.169,240.424,4,75,242,25,1,2,0.279,0.267
2.159,237.073,14,85,247,25,3,2,0.353,0.933
2.122,239.776,0,30,232,24,0,1,0.132,0.0
2.21,240.518,6,75,246,25,2,2,0.338,0.4
2.42,237.025,10,95,274,28,2,3,0.75,0.667
2.148,240.509,8,85,240,24,1,2,0.25,0.533
2.452,236.958,5,95,274,28,2,3,0.75,0.333
2.437,237.162,5,95,271,28,2,3,0.706,0.333
2.406,237.32,4,95,267,27,1,3,0.647,0.267
2.165,236.898,13,85,240,24,3,2,0.25,0.867
2.193,240.007,6,75,247,25,2,2,0.353,0.4
2.168,240.09,1,75,242,25,1,2,0.279,0.067
2.124,240.236,1,70,234,24,1,1,0.162,0.067
2.374,237.312,8,95,264,27,1,3,0.603,0.533
2.19,236.762,15,85,244,25,4,2,0.309,1.0
2.543,236.795,6,95,278,28,2,3,0.809,0.4
2.174,240.6,7,75,245,25,3,2,0.324,0.467
2.155,240.808,8,75,240,24,1,2,0.25,0.533
2.142,239.603,0,0,230,24,0,1,0.103,0.0
2.452,237.087,7,95,280,28,3,3,0.838,0.467
2.362,237.645,0,95,264,27,0,3,0.603,0.0
2.174,240.93,10,75,243,25,2,2,0.294,0.667
2.161,240.121,12,85,241,25,2,2,0.265,0.8
2.448,236.847,12,95,272,28,2,3,0.721,0.8
2.172,240.361,0,70,237,24,0,1,0.206,0.0
2.451,237.228,15,95,282,29,4,3,0.868,1.0
2.174,240.901,15,75,245,25,4,2,0.324,1.0
2.385,237.682,2,95,267,27,1,3,0.647,0.133
2.129,239.894,0,30,228,23,0,1,0.074,0.0
